id,bank_id,latitude,longitude,changeset,uid,timestamp,version
141,4,39.9845558,32.8593646,38039624,1386706,2016-03-24T11:55:09Z,1
142,18,39.98471,32.8587103,38039624,1386706,2016-03-24T11:55:09Z,1
143,9,39.9848087,32.8591448,38039624,1386706,2016-03-24T11:55:09Z,1
144,2,39.9842621,32.8583426,38039624,1386706,2016-03-24T11:55:10Z,1
145,2,40.0027716,32.8732246,38057022,1386706,2016-03-25T07:44:47Z,1
146,10,39.9940125,32.8748499,38061640,1386706,2016-03-25T12:24:54Z,1
147,9,39.9922608,32.8744511,38064074,1386706,2016-03-25T14:30:33Z,1
148,11,39.9884456,32.8755846,38064074,1386706,2016-03-25T14:30:35Z,1
149,3,39.9785647,32.8699366,38064074,1386706,2016-03-25T14:30:36Z,1
150,5,39.9785968,32.8701076,38064074,1386706,2016-03-25T14:30:36Z,1
151,18,40.043537,32.9021293,38120293,1386706,2016-03-28T13:14:59Z,1
152,18,39.9665979,32.746486,38160024,1386706,2016-03-30T07:29:32Z,1
153,8,39.9666791,32.7464389,38160024,1386706,2016-03-30T07:29:32Z,1
154,6,39.9689669,32.7464076,38160024,1386706,2016-03-30T07:29:32Z,1
155,2,39.9712735,32.74726,38160905,1386706,2016-03-30T08:08:16Z,1
156,2,39.9654906,32.7294827,38161241,1386706,2016-03-30T08:27:50Z,1
157,18,39.9314618,32.8765557,38165459,1386706,2016-03-30T12:14:30Z,1
158,5,40.2042394,32.6801204,38188662,1386706,2016-03-31T05:59:33Z,1
159,17,40.2044885,32.6799258,38188662,1386706,2016-03-31T05:59:33Z,1
160,9,40.2042106,32.6799605,38188662,1386706,2016-03-31T05:59:34Z,1
161,3,40.2039351,32.6794898,38188662,1386706,2016-03-31T05:59:34Z,1
162,18,39.9334872,32.9100103,38189083,1386706,2016-03-31T06:22:11Z,1
163,12,39.9334966,32.9098489,38189083,1386706,2016-03-31T06:22:11Z,1
164,1,39.9196927,32.9067434,38220170,1386706,2016-04-01T07:57:06Z,1
165,4,39.9189349,32.9083402,38220170,1386706,2016-04-01T07:57:07Z,1
166,2,39.920257,32.9068861,38220170,1386706,2016-04-01T07:57:08Z,1
167,0,39.9225531,32.904089,41197372,689014,2016-08-02T17:28:54Z,2
168,9,39.9226591,32.9040118,41197372,689014,2016-08-02T17:28:55Z,2
169,10,39.9227636,32.9039549,41197372,689014,2016-08-02T17:28:55Z,2
170,0,39.9987567,32.8662027,38248858,1386706,2016-04-02T13:43:17Z,1
171,17,39.9991251,32.8667353,38248858,1386706,2016-04-02T13:43:17Z,1
172,2,39.9991477,32.8668989,38248858,1386706,2016-04-02T13:43:18Z,1
173,9,39.8975971,32.7742462,45418444,689014,2017-01-24T02:13:58Z,2
174,5,39.8410802,33.5062096,38397849,1386706,2016-04-08T06:22:22Z,1
175,17,39.8414406,33.5056812,38397849,1386706,2016-04-08T06:22:22Z,1
176,2,39.8423814,33.5056146,38397849,1386706,2016-04-08T06:22:22Z,1
177,2,39.9614079,32.8736922,39234915,1386706,2016-05-11T07:51:53Z,1
178,2,39.9615512,32.8739504,39234915,1386706,2016-05-11T07:51:54Z,1
179,17,39.9657987,32.9484161,39391886,1386706,2016-05-18T05:58:49Z,1
